bap,in british english type of floury soft bread roll bit like hamburger bun used affectionately to describe breasts
bar,the other default variable used in programmer slang
bare,alot of or lots of
bareback,to have usually gay penitrative anal sex without the use of condom can otherwise be described as raw
bareback,to ride horse without saddle
bareback,vaginal intercourse anal intercourse or oral intercourse without the use of condom
barefoot,without shoes or socks
base,freebase rock cocaine
bastard,way to insult another person in vulgar way child born without wed parents
bastard,fatherless child strine term of friendship
bastard,australian illegitimate mean endearing term to person usually male
bat,crabby sarcastic old woman
bate,short for masturbation see bater
beak,large abnormally sharp nose
beak,birds mouth usually orange
beak,another term for nose
beak,judge or some form of judicial process
beanie,small amphetamine speed related pill
bear,chubby homosexual with lot of body hair
beard,man or woman used as cover for gay partner
beard,female or male though mainly female who is used as cover up for homosexual
beast,milwaukee best brand of foul tasting weaker than water beer consumed primarily by college students
beast,anything that is good or someone that is good past tense to own someone
beast,uk slang person who is very good at something
beast,thick built hot as hell woman
beast,is best electrifying amazing super terrific
beastly,being good at certain things
beat,tired spent etc
beat,straight out ugly disgusting and hideous atrocious
beat,to steal or rob something from someone to have sex to masturbate to win to fight someone roughly
beat,extremely ugly probably derived from with the ugly stick
beat,tired exhasted bad rough
beauty,is what every living creature posseses
beauty,it something almost tangible but you can describe it it more of feeling
beauty,the one thing that draws you towards her the thing she cannot see herself without your help
beauty,something inside the beholder eye
beauty,person who is nice cool or otherwise chill in some manner the person may or may not be good looking
beaver,another name for the vagina
beaver,the female genitals especially with pubic hair originally brittish
bed,to have sex with someone see also beddable
bed,verb to have sex with someone but saying it in more upscale manner implies conquest of the chosen person
beef,to have grudge or start one with another person
beef,to have with someone is wanting fight with them person having something against someone else or wanting an argument or fight
beer,the best way to get sex
beer,to put it simply it ll getcha drunk
beer,to give someone
beer,drink destined to be spilled
beggar,term used to describe person that barely has anything has no home and begs for money
bender,the act of being high or drunk from the use of illegal drugs and or alcohol it large amounts commonly associated with alcohol and being drunk from the time you wake you up till the time you pass out and waking up and doing it again also associated with the use of illegal drugs where alcohol is usually consumed but you do not sleep for period of hours up to days
bent,the state of being when you are intoxicated from using both alcohol and marijuana
berry,po lice car
beta,the final state of program released by microsoft
bible,christian holy book highly flammable
bid,it means servin time in prison
bid,is street slang for prison sentence
big,an event that is described as large occurance
big,the opposite of small also known as large
bird,slang eng young woman
bird,brick of drugs usually cocaine
bird,scottish slang word that male would say towards an attractive female
bird,generally girl or young woman who comes across as vain ditzy stupid or useless
bird,is slang for penis usually used in the northern or canada coined by bubbles
bird,when you flip someone off like this
birdie,penis filipino usage
biscuit,handgun specifically revolver
biscuit,good looking woman typically of younger age
bit,prison lingo for usually short prison sentence
bit,word that is short for the term bittie
bitch,the person forced to sit in the middle of the back seat in car often in cases where multiple men and one woman are riding the woman will automatically be the to serve as padding for irrational male homophobia
bitch,to complain
bitch,lable that man puts on woman that they can not control
bitch,word used to describe the act of whining excessively person who rides specifically in the middle of front seatting only car meant for passengers or less modern day servant person who performs tasks for another usually degrading in status term used to exclaim hardship
bitch,female dog vulgar woman who for one reason or another deserves good slap to talk or act as such woman coarse woman who sleeps around
bitch,women with bad attitude
bitch,someone who is inconsiderate and insensitive someone who used to be kind to you but then decided that you weren good enough for them anymore someone who you thought was your friend but turned out to be the opposite
biter,someone who copies another person
biter,person who bites during tough sex musical artist who copies lyrics from other artists
blackberry,person who is as stupid and nonsensical as mobile phone
blade,rims for car as in the song wanna be baller
blank,to ignore someone completely just to annoy them
blast,to tell some ones personal business
blast,hit of crack to smoke crack
blast,to say personal info about some one else to everyone
blast,to ejaculate to cum to have male orgasm
blasted,damned stupid annoying as hell
blasted,intensely drunk or stoned
blaxploitation,is the morph ing of the words black and exploitation it is film genre from the that targeted the urban african american audience the actors used were mainly black and was the first style to use funk and soul music although initially popular it quickly disingrated as film genre critizised for the use of stereotypes
blaze,smoke weed same as burn
blaze,to to toke up to smoke the reefer to hit the bong to smoke blunt you know
blaze,to go somewhere fast
blaze,to spark some bud marijuana to be hot
bleeder,archaic person with hemophilia hemophiliac
blind,to be in love
blind,to be extremely drunk term used in australia
blob,person who is fat the actual fat on person body to do nothing of importance hang around to be pmsing
blood,top gang who usually more rilla than crips the original gang is piru
blooper,mistake or accident or an embarrassing moment
blotter,small square piece of absorbant paper usually containing one hit of lsd usually chewed and swallowed
blow,cocaine
blow,to suck dick cocaine in it powdered state to smoke weed to leave
blow,noun common slang word for cocaine
blow,job sucking one dick cocain up destroy with an explosion to exert air from one mouth to one load to ejaculate
blow,dissapointing situation something not cool
blowback,the act of exhaling cigarette smoke into the mouth of another person often leads to hook up
blower,telephone
blown,high as mothafucka
blown,to be really high off marijuana
blowy,blow head job fellatio
blue,sad color as in the sky or oceans
blues,in music the is about redemption not depression
blunt,marijuana rolled in cigar paper
blunt,cigar paper rolled with weed instead of tabacco being strate foward
blunt,cigar hollowed out and filled with marijuana can be smoked in public somewhat inconspicuously
blurb,is just short written peice about something usually it in reference to newspaper article that briefly mentions barely newsworthy item
blurt,sperm ejaculate cum
boat,it stands for buoyancy operated aquatic transport
boat,uk face cockney slang race face
boat,pills of ecstasy
boat,another name for full house in poker
bob,what you call the guy in the water with no arms or legs
bob,battery operated boyfriend as in vibrator
body,cool way of saying you murdered someone
body,verb to murder someone
bogey,cigarette an enemy
bogie,cigarette
bogie,cigarette rolled up tobacco
bogus,an insult that can mean wrong or fake
boiler,ugly woman
boiler,nasty horrible fish faced woman
boiler,an ugly woman one would prefer not to service
bomb,verb to go down hill fast on skateboard
bomb,something dropped by the gap band
bomb,cool awesome also see shit
bomb,something you never say on air airplane
bomb,sexy attractive appealing
bomb,weed herb bud marijuana
bomb,to fail spectacularly
bomb,before something really bad failure after something considered excellent and or the best uses modifier the
bomb,something very cool good
bombed,means to get really drunk
bombed,drunk off ya ass
bombshell,an utterly gorgeous exoticly beautiful woman
bone,for male to have sexual intercourse similarly for female to be boned
bong,marijuana smoking device often considered more healthy less harsh then pipes steamrollers joints
bong,type of waterpipe used for smoking smoking allowed phelps to win all of his gold medals
bong,sainted and holy invention water pipe used for smoking groovy ganja sometimes ice is added to the water to cool the smoke love my
bong,the only way to smoke weed
boo,one of the most annoying things ditzy girlfriend will call her boyfriend
boo,someone you love or adore
boo,significant other girlfriend boyfriend really close friend
boo,boyfriend or girlfriend word used to scare people
boo,term of endearment like baby
booby,slang term for breast
boogie,gangsters dont dance they
boogie,black person typically from the ghetto
book,cool the first option given when trying to type cool in text message using
book,cool in the predictive text on cell phones the numbers spell both and cool but is the first word to display to save time it is left and understood to mean cool
book,verb meaning to run or to leave in hurry
booker,all around awsome person with unhuman skills very badass person
boon,derogatory term for black man
boost,to steal
booster,person who steals items from retail stores only to then sell on the streets usually for discounted price
booster,word for car thief
booster,someone who steals for living usually cars clothing or jewelry
boot,to vomit
boot,hmm to inject something usually used in the context of drugs my friend booted bunch of heroin last night guess this might be possibility but if memory serves me well it does so now and then booting is what one does after the first injection of drugs thus one injects and then draws some more blood into the syring dropper and injects that repeatable
boot,person whom purchases alcohol and or other adult items for minors short for bootleg
booty,the part of the body that boys love to tuoch
booty,the behind of woman her ass
booty,woman bubbly butt
boss,pimp awesome cool godly amazing pro person who all these words apply too
boss,adj meaning extremely cool awesome or fly
boss,jerk in charge
bottler,london working class slang for coward
bottom,as verb to be the in gay sex
bounce,to leave expeditiously
bounce,to leave place relocate to another
bowl,the part of marijuana weed pot ganja etc pipe in which the marijuana is placed packed to be smoked it may have little hole carb on the side of it which you cover while you are inhaling the marijuana smoke while holding the whole pipe and smoking
box,vagina
box,female genitalia
boxed,really messed up as in drunk or high
boy,guy who has never had sex once has sex he is man and is no longer
boy,used as slang term for heroin
boy,well regarded trusted friend
boy,word to follow the job or description of younger and very hot male
boy,male man the opposite of female woman
bra,synonomous with bro fraternal plutonic expression see bro
brain,oral sex head blow job
brain,to strike someone in the head with an object
brass,prostitute from the cockney slang nail meaning tail tail being slang name for prostitute
brass,courage also known as balls
bratty,describes child who is spoiled whiny throws tantrums and always wants things his way
bread,money specifically cash carried by person
bread,slang term in da states for money or cash
bread,another name for money notes not coins
bread,bahamian slang for female genital pussy
break,to leave
breeder,straight person heterosexual
breeze,an attractive female short for breezie breezy
brew,one of the thousands of uk terms for tea
brick,kilogram of any drug normally cocaine
brick,caine marijuana ki of weed
brick,very cold like when somehting is cold and frozen itsz as hard as
brick,dependable person friend who always helps english slang
brick,adj very cold to punch quantity of cocaine
brick,large and heavy cellular phone usually one that is several years old
brick,there are number of different meanings for the word so don just dump it there some good stuff here very cold usually only used to describe the temperature of place the weather or indoors in particular location an unintelligent person derived from thick as basketball shot in which the ball bounces off the backboard and or hits the rim but does not go though the net large quantity of drugs packaged in shape especially cocaine an external power transformer that provides power from wall socket to laptop wireless router projector etc piece of electronic equipment that has been rendered inoperable this usually happens when trying to update the firmware or bios of the device when jail breaking installing new mobile phone roms etc large mobile phone british slang for reliable person to bail ditch let down not show up or do something as promised agreed to to hit something or someone with bricks to avoid doing something because of fear derives from shitting bricks
brick,slang term meaning very cold only acceptable to use if the temperature is degrees or colder
brick,really cold freezing temperatures
brig,slang term for military prison
brimstone,another name for boobies
broker,someone who invests your money until it all gone
bronco,sexual act for young adventurous guys
brown,slang term for black tar heroin
brunette,the best kind of woman the hottest woman the sexiest woman
brush,slang used in place of beat
bubbler,term for drinking fountain it was trademarked by the kohler company which originally developed it it is commonly used to refer to drinking fountain in wisconsin and new england especially in rhode island
bubbler,slang for water fountain very widely known in wisconsin very mon ppl water fountain is the thing in the middle of the park
buck,means ususaly used for speed
buck,to get ready to fight
buck,the sexual position where the woman lays on her back and raises her legs above her head during sexual intercourse she may rest her legs on the mans shoulders
buck,pounds can be modified to express other weights for example ten would be pounds
bucket,flabby loose or overly spacious vagina has complete lack of taughtness and can usually house large objects possibly large objects being the cause
bucket,an oversized vagina due to lots of sex
bucket,old car in bad shape
buckeye,indigenous tree of ohio the state whose nut is poisonous also the mascot of the ohio state university is term used for anyone attaching themselves to the ohio state university athletics as fan student or athlete
buckwheat,low term for black people
bud,everyones friend
bud,short for buddy
budget,something that is poor cheap or old
buff,good looking
buff,when man gal is well attractive they is defined as meaning they is very sexy and you know you definitely would
buff,very strong and well built
bug,way to call volkswagen beetle
bug,to pester
bugle,also bugel cocaine
bugle,slang term for the use of cocaine
bull,word used by philly cats to describe male friend or male person
bull,in any homosexual or lesbian relationship the partner who is more aggresive and more masculine than the other who being passive and feminine is called the bitch
bull,caribbean slang for having sexual intercourse
bullet,ace card in poker
bully,usage excellent first rate outstanding an exclamation used to express approval as in
bully,someone who dominate others through intimidation
bump,small lump of any powdered drug cocaine ketamine heroin
bump,sexual term referring to having intercourse
bumper,booty typically female
bun,someone butt or rear end
bun,to smoke ganja
bun,ugly disgusting
bundle,bags of heroin
bundle,bags of heroin bundles are in brick bundles are sold anywhere from to
bung,butthole anus asshole
bunghole,the hole in cask keg or barrel through which liquid is poured in or drained out vulgar slang the anus
bunghole,another word for anus derogitory term
bunghole,the word used to describe the anus in the popular mtv television show bevis and butthead
bunk,nonsense utter rubbish bullshit
bunk,whack boring no fun
burger,gorgeous female
burn,to smoke cigarette marijuana see blaze to infect one with sexually transmitted disease on sports team playing time
burn,to infect someone with veneral disease to add data or music to blank cdr to set something on fire
burn,term used by someone when they witness someone being insulted or said to someone who has just done the insulting
burn,slang for serious insult verbal ownage
burned,one who has been givin disease
burner,large piece of graffiti involving many colors making it bright and colorful it usually refers to whole car productions on subways gun trak
burner,handgun
burner,graffiti peice than can take hours to do
bus,slang term for ambulance
bush,the hairy region above the vagina
bush,pubic hair current president of the who is as useful as pubic hair
bush,one of the greatest bands to exist
bush,pussy or very hairy pussy
bush,world number one terrorist
bush,male and or female pubic genital hair
bush,very awsome grunge band second only to nirvana
bush,hairy pubic area the th and rd us presidents
bush,pubic hair or george all three are completely synonymous
business,criminal activity carried out by mafia
bustle,making money by way of businesses
but,word used to delay the inevitable
butt,the buttocks the hindquarters the posterior the remaining end of smoked cigarette very extremely
buy,to be convinced to believe something
buzz,anything that creates excitement or stimulus the feeling experienced by someone in stimulated state gossip
buzzard,person who hangs out and smokes all your weed
buzzard,when person is either very lame or wack
cabbage,cash money mo money
cable,old skool fat gold chain
caboose,buttocks ass butt
cake,woman booty money as in what pays the billz
cake,kilo of cocaine
cake,sweet pastry kilo of cocaine money
canary,female singer especially in the big band swing era
candy,slang term for crack cocaine
candy,the plastic jewlery necklaces bracelets etc worn at rave they are used for trading or just for show they usually glow like glowsticks
cane,short for cocaine
cantankerous,lonely angry cranky
cap,to shoot someone with handgund turned to the side
cap,insulting someone in playful manner
caper,to commit an act of robbery
car,you must have this and money in order to attract females
card,an amusingly eccentric person
carpet,woman pubic hair
carrot,dildo
cash,another word that means cool
cash,good beastly mad fresh ill
catcher,man who receives anal sex
catfish,is someone who pretends to be someone they re not on the internet
cave,to give up to all opposition usually in an argument
cave,hiding place away from people who bag bully or tease you hiding place for emo or goths to get away from the sunlight hiding place for friends to hang out chill and forget about their problems
celestial,term refering to chinese people or to the former chinese empire frequently used in racist sense though not nessarly derogatory word
cereal,exquisite exclamation of serious
cereal,another form of the word serious
certifiable,british slang for insane derived from certifiably insane
change,in other words days weeks or months extra time or extended time
change,something barack obama promised in but has apparently given up hope on doing so
chap,man friend chum
character,an interesting eccentric person
charas,hashish
chase,someone who has an acceptionally large penis
chase,wen you drink you need sumding to wash it down
chaser,something you drink right after taking shot or swig of hard alcohol usually juice pop or beer
chaser,swig or sip of drink you take after shot takes the gross taste out of your mouth
check,when someone calls someone out or makes fun of someone else good checks are funny usually when someone is checked other people will laugh and sometimes join in to the checking games
cheddar,currency money cash dough
cheddar,ebonic slang for money
cheddar,money riches wealth ballin usually found in rap songs
cheese,variable used to replace just about anything it is most commonly used in reference to the subject of preceding sentence
cheese,verb to smile an extra big toothy slightly goofy smile
cheesy,sentimental maudlin melodramatic corny
cherry,when pipe bowl bong blunt joint cigar cigarette is still lit so you dont have to lite it again
cherry,when something is in near perfect condition mint
cherry,virgin originates from the practice of putting on nonalcoholic drinks to mark them as virgin
cherry,virginity reffering to blood from the hymen often phraised as popping your
cherry,the burning butt end of cigarette or joint
cherry,the hymen which is broken upon penetration
chew,smokeless tobacco what hockey hicks call it
chick,just another slang for girl or woman
chicken,chinese metaphor for prostitute
chicken,term used to describe young generally gay male often used with connotations of twink see also hawk
chicken,an animal that is processed for human consumption dangerous game in two cars will drive directly at each other and the first to swerve out of the way is the also referred to when two cars are doing the same thing only driving over cliff or ledge an attractive woman with thighs and breasts like real scardey cat wuss etc woman who gives lots of oral sex in this sense it short for head or neck
chief,someone who hogs the marijuana when passing bowl joint or bong
chief,to smoke marijuana commonly used as slang for getting high smoking up etc
chigger,baby born half chinese and half black
chigger,when you see asian person trying to act like black person will tell you that it is rare to see asian person acting like black person
chigger,chinese guy tryin to act like black guy chinese black guy
chigger,chinese black man or parasite that lives in grass
chigger,chinese mofo who thinks his yellow ass is black
chigger,term for chinese person who mimicks language dress and mannerisms of black ghetto kids chinese wigger
chigger,when an asaian person wants to become or acts like black person they are known as
chill,hang out relax stop doing something
chill,calm down and or relax be cool yo
chilling,just hanging out not really doing anything exciting
chin,verb to someone the violent act of punching someone in the face much in the same vein as lamp
chip,to is to run away to leave from somewhere
chisel,to cheat someone
chocolate,term used for anything of remarkable nature
choice,adjective awesome sweet best quality
choke,in hawaii it means lot of something
chopper,city is another name for the ak assault rifle what meant there is is an ak assault rifle someone who plays the game raw and chops
chow,to eat pussy
christen,to perform an act ususally having sex or smoking pot in new location for the first time
chubby,partial erection semi on
chuck,the action of throwing something with great speed and power usually at someone or something disliked
chuck,high top canvas converse all star basketball shoe bearing the signature of taylor
chuff,anglo slang for snatch vagina
chug,scots word for masturbate
chummy,adjective meaning to be friendly or highly personable
chump,sucka that tries to act cool but is really fool and tries to act tough but really isn
chump,stupid or gullible person
chump,someone who is really thick they are easily duped tricked and taken in by others gullible person also someone who relies on weather com
chunk,the name of the fat kid off the goonies
chunk,chubby chinese person
chunk,fat asian large piece
chunk,large obese chinese person usually offensive comes from the word chink
cinch,describing an action that extremely easy
clam,secretive person that is closed up like tight fisted stingy character
claret,cockney inner london slang for blood
class,excellent used in northern ireland
clean,means this person is not carrying weapons or drugs
clean,describing an item that looks really nice
clean,see cool positive connotation
clean,having stopped taking drugs
click,clique spelled wrong the same as crew
click,military term meaning kilometer
clink,prison or jail
clip,verb to kill hit
clobber,noun clothes and personal belongings
clock,scale for weighing drugs
clod,stupid shit
clot,an idiot mostly used as generic insult
clothesline,when someone charges at you arm straight out to their side and knocks you straight across the head can easily knock someone unconsciouss
clutch,coming through when you are needed most in high pressure situations
clutch,coming in handy just what was needed essential or sweet
coast,calm relaxed chill
cock,anthor word for penis
cock,penis to pull the hammer of gun
cock,the decision maker for man
cock,the male reproductive organs used in fucking
cock,the best thing ever
cock,my long inch hard thing in my pants
cock,the male reproductive organ male chicken popular slang word for cool in the early
cock,slang term for penis
cock,male external reproductive organ long penis that is very large in size and weight woman play toy in sexual intercourse
cock,long hard and filled with alot of semen
cockroach,small unattractive person with an attitude to match
cocoa,general term used for the male genetalia
coconut,mexican gone white brown on the ouside white on the inside
coconut,person who is tan on the outside mexican indian philipino and white on the inside
coconut,anything or anyone that is white on the inside but brown on the outside chicanos and other decendents of brown spanish speaking people that can or won speak spanish act white and are ashamed of their heritage
coconut,is person who like the fruit is white on the inside yet brown on the outside eg indian this person may like to party drink alcohol have boyfriends dress in westernised clothing despite their asian appearance and upbringing
coffee,person who is coughed upon
coffee,black strong and with no sugar the elixir of life
coin,money dolla bills
coin,another word for money
coke,any drink served in the south
coke,short for the drug cocaine short for the beverage coca cola
coke,an addictive soda an addictive drug
cold,pretty beautiful hot
cold,harsh mean icy
cold,heartless having no emotions
cold,better than cool to be cooler than cool the coolest level of cool
collar,to arrest someone an arrest
college,place you go to to complete your government brainwashing
college,is where girls go to get fat
collie,marijuana term used by rastafarians and jamaicans
commercial,annoying advertisements between tv shows
connection,person you buy your dope from
cookie,the female genitalia nicer name for pussy
cool,socially acceptable by modern culture neat
cool,someone who receives the respect of others
coot,something so cute it is beyond cute and goes to whole other level of cuteness
cooter,female genitalia
copper,term used by gangsters in the and for police officer
cottonmouth,occurs after one smokes marijuana refers to the mouth becoming exceedingly dry spit becoming sparse and thick and the roof of the mouth becoming seemingly impossible to reach with your tongue
cougar,an older woman who is past her prime who is attracted to younger men often as an act of desperation or as last resort
coupon,face northern irish and scottish dialect
cousin,homie friend associate partner
couth,sauve smooth cool hot
cover,the price you pay to gain access to club bar venue
cover,version of song that is done by another band than the original band can another band song
cowgirl,sexual position aka position in which the woman sits astride the man
crab,offensive term for crips
crab,abbreviation for crips respect all bloods
crab,an insulting term to crips mostly used by us bloods
crab,derrogatory term for crip gang member
crack,smokeable cocain program to unlock trial versions of programs butt cleavage
crack,otherwise known as cocaine this illegal drug is mixture of two parts cocaine and one part baking soda this chemical process reverts the powder cocaine mkaing process by one step producing smokable form of the naturally found alkaloid cocaine because of its nature as an inhalable substance the high is quicker and more intense leading to larger number of addicts in present society it is considered to be much more distasteful to use cocaine then powder cocaine as is mainly viewed as drug for poor people whereas powder cocaine is used by richer constituancy contrary to popular belief cocaine is not freebase cocaine freebase cocaine is mixture of cocaine ether and other dangerous and combustable materials baking soda was replaced as the ingredient in the to make production easier and less dangerous either way and freebase cocaine produce the same smokable form of the drug
crack,something really good pretty much addicting
crack,freebase form of cocaine generally smoked in crackpipe the crevice between one butt cheeks
cracked,crazy mentally unstable
cracker,when someone calls you they are calling you white person it is racist comment
cracker,poor white person from southern united states who worked alongside slaves were said to have eaten crackers as their main diet because they were so poor
cram,to study for test in the last remaining minutes tactic prefered by many students worldwide
crank,penis
crank,to turn the volume of your sound system up real loud
crash,to show up somewhere uninvited or unexpectedly
crate,an old beat up car heap jalopy
cream,semen to become excited
creep,person who crutialy stalks another person
creep,to have sex with someone usually someone you re cheating with
crew,gang set
crib,person place of residence
crib,word obviously derived from the actual definition meaning place of residence where you live and where you were raised
crib,term house dwelling where one lives in the hood bed for baby
crib,residence often located in one hood
crib,home domicile or dwelling
crib,complain rant
crib,place of residence esp for home boy from the hood what baby sleeps in
crick,when rednecks inproperly pronounce creek as
croak,to die to kill someone or something
crook,sick unwell australian slang
cross,something you nail people too
crow,black feathered sky demon
cruise,to try to seduce someone
cruising,to search as in public places for sexual partner to go about the streets at random but on the lookout for possible developments
crumbly,an old person or elderly
crush,to admire from afar the person you have feelings for
crush,when you have on someone you like that person you usually feel uneasy and try to get attencion around that person sometimes it hard to stop thinking about them
crutch,thick piece of paper or tagboard used in the mouth piece of joint to support the paper and faciliate easy smoking of said joint
cub,term used in gay circles to describe young husky hairy gay man essentially young bear
cum,can be used meaning your having an orgasm or the ooze juice that comes out of both sexes during before orgasm
cum,semen the act of ejaculating
cum,to orgasm whitish fluid from aforemention orgasm how internet sluts say come
cupcake,person you love or care for someone you can cuddle with
curly,kickname for bald headed dude
cut,hidden place where one can use illegal substances and commit other illegal acts in safetey
cut,to have sex
cut,when something means something to you deep down usually when someone says something mean and you were heaps hurt like wound but emotionally
cut,adj when you are circumsized the act of circumsision
cut,in biker slang leather or denim vest displaying the colors worn by motorcycle club patchholder
cut,small amount of marijuana or another drug generally off of bigger piece by your dealer
cut,to leave to go away
cut,to skip school class etc
cute,attractive esp in delicately beautiful way pleasingly pretty affectedly or pretty or clever precious mentally keen clever self consciously mannerisms or appeal caroline
cute,attractive and fun to be around gives one butterflys and makes one giggle
cute,really awesomely attractive
cutter,someone who cuts themselves for various reasons
cutter,person who harms themselves to relieve emotional pein
dab,to administer drug in powder form orally by getting some on the index finger and rubbing it all over the gums
dag,affectionate insult for an odd idiosyncratic person
daisy,an attractive woman way of saying female is attractive without them realising so usually said in high pitched femine voice just for banter can also be used as way of starting conversation with an attractive woman
damn,the all purpose word
damn,used to emphasize shock or express disbelief
damn,an expression of disbelief or surprise
damn,word used by angry americans
damn,the sight of hot chick
dank,high quality really strong weed
dank,also an expression requently used by stoners and hippies for something of high quality
dapper,well dressed person
date,the one thing you can get if you re on this website
date,when two lovers go out for dinner and movie
date,prostitute euphamistic term for trick
dead,to no longer live like no pulse to be really boring to be in serious trouble
dead,state of being intensely high drunk or both
deadwood,one of the best tv series ever
deal,problem obsession or thing
dealer,someone who job is selling drug
death,something you must not fear never
deck,to grams of heroin also known as bag packet of drugs
decked,or out dressed nicely or liked pimped out
deep,the number of people who were at location
den,remote closed room for relaxation
dense,stupid
deuce,later goodbye derived from peace or peace out as in throwing two fingers up when leaving see also chunk the chunk and chunk
deuce,sharing cigarette between two people
deuce,verb to shit noun shit past tense shitted or shat
dexter,person on the right side or on the side of right half evil and half good is usually run by emotion and manipulator of matters at hand
dibble,after officer from the legendary topcat cartoons manchester based slang for the police
diesel,extremely muscular huge big bodybuilder
diesel,awesome or strong as in physcical power also great cool or sexy
dig,to understand something to appriciate or like something
digger,affectionate term for the australian combat soldier the term originated during the gallipoli penisula campaign where digging protective trenches was comonplace activity
dime,tight pass in ball
dime,very attractive person usually female in reference to perfect ten
dime,way of describing fine girl as perfect
ding,to reject as in to reject candidate from membership to club or society person rejected or worthy of rejection
dingle,penis
dingle,is derrogatory term for person from burnley
dink,to verb to fool around doing something with no purpose
dink,another colorful slang term for penis
dinky,comical name for penis
dinky,tiny small
dip,to run fast away from something
dip,to leave
dip,to leave abruptly to get the hell out of somewhere
dip,cigarette dipped in liquid pcp
dipstick,the stick in fun dip the stupid person
dirt,gossip bad information
dirt,low grade marijuana
discombobulated,very way to say confused
discombobulated,state of being shocked and or confused
discombobulated,having self possession upset thrown into confusion
dish,girl who has it all looks personality intelligence and looks
dish,an attractive woman
ditch,skipping from school not going in to school
diva,woman with an attitude who needs to get what she wants
diva,is the female version of hustler
